personnage,N
Spécialistes de la criminalistique,30
Trisomiques,30
Tueuses à gages,30
Adolescentes victimes d'abus sexuels,29
Aides-infirmières,29
Artisans,29
Braconniers,29
Cathares,29
Clients de la prostitution,29
Cocus,29
Conservateurs de musée,29
Cyborgs,29
Décoratrices d'intérieurs,29
Enfants juifs pendant l'Holocauste,29
Étudiants en littérature,29
Faussaires,29
Femmes anthropologues,29
Femmes chamans,29
Femmes pilotes d'aéronef,29
Gagnants à la loterie,29
Gens de lettres,29
Joueurs compulsifs,29
Joueurs de poker,29
Maghrébins,29
Menuisiers,29
Mères adolescentes,29
Parents divorcés,29
Personnes socialement défavorisées,29
Prêtresses,29
Prisonniers évadés,29
Théologiens,29
Amiraux,28
Animatrices de radio,28
Animatrices de télévision,28
Bosniaques,28
Femmes comptables,28
Hommes d'État,28
Maoris,28
Mathématiciennes,28
Narcissiques,28
Ogres,28
Pauvres en milieu urbain,28
Pères adoptifs,28
Physiciennes,28
Pilotes de chasse,28
Saints chrétiens,28
Saxophonistes,28
Tireurs (Armes),28
Toreros,28
Arrière-grands-mères,27
Bonnes d'enfants,27
Coroners,27
Criminels de guerre nazis,27
Dieux grecs,27
Égyptologues,27
Élèves du primaire,27
Enseignants retraités,27
Esthéticiennes,27
Faussaires de l'art,27
Femmes de chambre,27
Femmes vétérinaires,27
Gynécologues,27
Institutrices (Enseignement primaire),27
Intersexués,27
Sociologues,27
Surfeurs,27
Tchèques,27
Travailleurs sociaux,27
Victimes d'abus sexuels,27
Beaux-enfants,26
Beaux-parents,26
Chirurgiennes,26
Conservatrices de musée,26
Couples de lesbiennes,26
Croates,26
Enfants atypiques,26
Enfants métis,26
Enfants sauvages,26
Français d'origine maghrébine,26
Guides de montagne (Personnes),26
Historiennes d'art,26
Horlogers,26
Huguenots,26
Interprètes,26
Jamaïquains,26
Magiciens (Illusionnistes),26
Ornithologues,26
Orphelins de guerre,26
Personnes remariées,26
Procureurs du ministère public,26
Professeurs (Enseignement collégial),26
Victimes de naufrage,26
Voleurs de bijoux,26
Artistes du spectacle,25
Athlètes,25
Bisexuels,25
Bourgeoisie,25
Clowns,25
Cordonniers,25
Délinquants sexuels,25
Déportés,25
Écrivains amateurs,25
Enfants de parents séparés,25
Enfants fugueurs,25
Épiciers,25
Femmes astronautes,25
Femmes tsiganes,25
Hommes en milieu rural,25
Joueurs d'échecs,25
Journalistes sportifs,25
Juifs allemands,25
Kurdes,25
Martiniquais,25
Mères d'enfants enlevés,25
Mères porteuses,25
Paranoïaques,25
Parrains et marraines,25
Personnes amputées,25
Titulaires (Enseignement primaire),25
Yougoslaves,25
Brus,24
Candidats (Élections),24
Conducteurs d'autobus,24
Dessinatrices de mode,24
Directeurs d'école,24
Éleveurs,24
Étudiantes en droit,24
Étudiants en art,24
Eunuques,24
Femmes journalistes de télévision,24
Femmes révolutionnaires,24
Femmes sourdes,24
Gardes forestiers,24
Gardes-chasse,24
Gourmets,24
Libraires du livre ancien,24
Luthiers,24
Neurochirurgiens,24
Nouveau-nés,24
Patients,24
Pilotes d'aéronef militaires,24
Propriétaires de bars,24
Radicaux (Politique),24
Superhéros,24
Travailleurs étrangers,24
Alcooliques en réadaptation,23
Armateurs,23
Bijoutiers,23
Coureurs automobiles,23
Cryptographes,23
Étudiants en philosophie,23
Ex-prostituées,23
Femmes interprètes,23
Fossoyeurs,23
Hassidim,23
Hommes en surpoids,23
Kabyles,23
Mulâtres,23
Ouvriers de la construction,23
Professeurs d'art,23
Sirènes,23
Tétraplégiques,23
Tibétains,23
Américains d'origine italienne,22
Berbères,22
Cardiaques,22
Cardiologues,22
Cartographes,22
Commerçantes,22
Croyants,22
Doctorantes,22
Doctorants,22
Écrivains publics,22
Enfants de criminels,22
Enfants trouvés,22
Exilées,22
Femmes violoncellistes,22
Finlandais,22
Herboristes,22
Jésuites.,22
Joueurs de base-ball,22
Marionnettistes,22
Nigérians,22
Ojibwa (Indiens),22
Philanthropes,22
Plombiers,22
Prétendants au trône,22
Prévôts,22
Propriétaires de plantations,22
Rédactrices en chef,22
Roux (Personnes),22
Séfarades,22
Sportifs,22
Taupes (Espionnage),22
Veuves de guerre,22
Victimes d'incendie,22
Blessés,21
Chercheuses,21
Couples homosexuels masculins,21
Créoles,21
Écrivaines américaines,21
Éthiopiens,21
Étudiantes en art,21
Grands-parents et adolescents,21
Hommes sans-abri,21
Immigrantes clandestines,21
Informaticiennes,21
Jésuites,21
Leucémiques,21
Montagnards,21
Parents négligents,21
Parfumeurs,21
Passagers clandestins,21
Péruviens,21
Préposés à l'entretien des édifices,21
Réceptionnistes,21
Troubadours,21
Agoraphobes,20
Anges gardiens,20
Basques,20
Cartomanciens,20
Cavalières,20
Celtes,20
Consuls,20
Détenus de camp de concentration,20
Ébénistes,20
Entrepreneurs de pompes funèbres,20
Familles inadaptées,20
Femmes spécialistes de la criminalistique,20
Filles du roi (Histoire du Canada),20
Homme préhistorique,20
Humoristes,20
Intellectuelles,20
Jeunes délinquantes,20
Juifs russes,20
Leaders,20
Maçons,20
Malgaches,20
Musiciennes rock,20
Nourrices,20
Psychologues policiers,20
Ranchers,20
Siciliens,20
Spirites,20
Tailleurs de pierre,20
Thaïlandais,20
Voyageurs de l'espace,20
Agents d'assurance,19
Américains d'origine japonaise,19
Antillais,19
Banquiers d'affaires,19
Bateliers,19
Bisexuelles,19
Brûlés,19
Correspondantes,19
Couturiers (Créateurs de mode),19
Écrivains homosexuels,19
Écrivains italiens,19
Écrivains russes,19
Esclaves fugitifs,19
Étudiantes du collégial,19
Femmes biographes,19
Femmes pirates,19
Femmes victimes de violence psychologique,19
Guérilleros,19
Joueurs de jeux vidéo,19
Joueurs de rugby,19
Lépreux,19
Lutins,19
Mages,19
Médecins de l'urgence,19
Mères adoptives,19
Mongols,19
Montagnais (Indiens),19
Personnes seules,19
Pionnières,19
Randonneurs,19
Représentants de commerce,19
Résidents (Médecine),19
Réunionnais,19
Rwandais,19
Tailleurs,19
Taxidermistes,19
Trolls,19
Adolescents surdoués,18
Banquières,18
Belles-filles,18
Bouddhistes,18
Bulgares,18
Califes,18
Conquérants,18
Conseillers municipaux,18
Consultants,18
Débardeurs,18
Disques-jockeys,18
Économistes,18
Écrivains allemands,18
Éléphants,18
Enfants adultes de divorcés,18
Européens,18
Femmes colons (Colonisation),18
Femmes de la classe ouvrière,18
Femmes pauvres,18
Femmes philosophes,18
Gladiateurs,18
Grands-tantes,18
Illustrateurs,18
Imāms,18
Ingénieures,18
Innu (Indiens),18
Malades dans un état critique,18
Mayas,18
Mécaniciens d'automobiles,18
Navajo (Indiens),18
Négociants en vins,18
Pères homosexuels,18
Préadolescents,18
Procureures du ministère public,18
Secrétaires particuliers,18
Sportifs de haut niveau,18
Touaregs,18
Agences d'accompagnement,17
Agents littéraires,17
Amuseurs publics,17
Automobilistes,17
Chapelières (Personnes),17
Congolais (République démocratique),17
Contremaîtres,17
Cris (Indiens),17
Dames d'honneur,17
Éleveurs de chevaux,17
Enfants de suicidés,17
Enfants réfugiés,17
Enfants témoins,17
Entomologistes,17
Exorcistes,17
Femmes anthropologues judiciaires,17
Femmes mariées abandonnées,17
Flâneurs,17
Gaulois,17
Hommes noirs américains,17
Hypnotiseurs,17
Jeunes écrivains,17
Jurés,17
Marchands d'esclaves,17
Mères d'âge moyen,17
Musiciens de blues,17
Naufragés.,17
Parents d'enfants autistes,17
Personnel médical,17
Personnes âgées malades,17
Portraitistes,17
Pratiquants des arts martiaux,17
Professeures de littérature,17
Professeures de musique,17
Prospecteurs,17
Rédactrices publicitaires,17
Réfugiés de la mer,17
Saints,17
Sioux (Indiens),17
Transgenres,17
Abolitionnistes,16
Adolescents atypiques,16
Adolescents autistes,16
Adolescents maltraités,16
Américains d'origine indienne,16
Bourreaux de travail,16
Chasseuses de primes,16
Cheyenne (Indiens),16
Cocaïnomanes,16
Couturiers,16
Devins,16
Diplômées d'université,16
Enfants adultes de familles inadaptées,16
Enfants adultes de suicidés,16
Enfants de survivants de l'Holocauste,16
Enfants de toxicomanes,16
Enfants placés devenus adultes,16
Étudiants étrangers,16
Extrémistes de droite,16
Extrémistes de gauche,16
Femmes arabes,16
Femmes ayant subi un avortement,16
Femmes millionnaires,16
Fous et bouffons,16
Hommes handicapés,16
Joueurs de basket-ball,16
Joueurs de tennis,16
Mères séparées,16
Mormons,16
Nigériens,16
Paparazzi,16
Parents d'enfants handicapés,16
Pickpockets,16
Prêteurs sur gages,16
Professeures de français,16
Programmeurs,16
Propriétaires de chats,16
Rappeurs,16
Rats,16
Séminaristes,16
Travailleurs des chemins de fer,16
Abénaquis,15
Afrikaners,15
Aides-infirmiers,15
Antihéros,15
Apparitions,15
Araignées,15
Bâtards royaux,15
Blessés de la route,15
Brodeuses,15
Cambodgiens,15
Candidates (Concours de beauté),15
Catalans,15
Centenaires,15
Chefs religieux,15
Conseillers d'entreprise,15
Conteuses,15
Couples homosexuels,15
Défenseurs des droits des animaux,15
Dépendants,15
Écrivains juifs,15
Enfants difficiles,15
Enfants esclaves,15
Esprits familiers,15
Étudiants diplômés,15
Familles juives,15
Femmes botanistes,15
Femmes en milieu urbain,15
Femmes fonctionnaires,15
Femmes spécialistes des relations publiques,15
Femmes tondues,15
Femmes violentes,15
Fumeurs,15
Hurons,15
Incas,15
Intendants,15
Jeunes sans-abri,15
Lobbyistes,15
Locateurs et locataires,15
Loup gris,15
Lutteurs,15
Marshals,15
Messie,15
Oiseaux,15
Parents violents,15
Pères célibataires,15
Perroquets,15
Préposées à l'entretien des édifices,15
Présentateurs de nouvelles télévisées,15
Prophétesses,15
Talibans,15
Tchétchènes,15
Trompettistes,15
Vedettes de télévision,15
Victimes de violence familiale,15
Aidants naturels,14
Archers,14
Asiatiques,14
Aztèques,14
Boulimiques,14
Cadreurs,14
Chasseuses,14
Commissaires-priseurs,14
Coureurs cyclistes,14
Critiques musicaux,14
Directeurs de banque,14
Directrices d'école,14
Enfants de prostituées,14
Enfants sourds,14
Ex-détenus de camp de concentration,14
Ex-membres d'une secte,14
Ex-religieuses,14
Femmes chefs de famille,14
Femmes inuites,14
Femmes pathologistes judiciaires,14
Fils de Dieu,14
Flamands,14
Greffés du cœur,14
Guadeloupéens,14
Journalistes de télévision,14
Jumeaux siamois,14
Mères violentes,14
Messagers,14
Meuniers,14
Militaires retraités,14
Monstres marins,14
Musiciens punk,14
Naines,14
Névrosés.,14
"Ours,",14
Parents malades,14
Producteurs d'enregistrements sonores,14
Professeurs de droit,14
Propriétaires de chiens,14
Religieuses hospitalières,14
Renards,14
Socialistes,14
Tahitiens,14
Transsexuelles,14
Triplés,14
Voyageurs de commerce,14
Adolescents en surpoids,13
Alsaciens,13
Apache (Indiens),13
Aphasiques,13
Archanges,13
Avocats spécialistes,13
Baleines,13
Bardes (Poètes),13
Bègues,13
Bénévoles,13
Bouc émissaire,13
Brahmanes,13
Céramistes,13
Clergé,13
Commis vendeurs (Commerce de détail),13
Conseillers,13
Copistes,13
Corbeaux,13
Disparus au combat,13
Enfants adultes,13
Enfants de célébrités,13
Enfants immigrants,13
Engagés volontaires,13
Enlumineurs,13
